Temporada,Equipo,Salario,team_code
2002/03,Washington Wizards,"$1,030,000 ($1,746,871*)",WAS
2001/02,Washington Wizards,"$1,000,000 ($1,714,095*)",WAS
1997/98,Chicago Bulls,"$33,140,000 ($63,077,431*)",CHI
1996/97,Chicago Bulls,"$30,140,000 ($58,685,292*)",CHI
1995/96,Chicago Bulls,"$3,850,000 ($7,702,751*)",CHI
1994/95,Chicago Bulls,"$3,850,000 ($7,936,957*)",CHI
1993/94,Chicago Bulls,"$4,000,000 ($8,451,772*)",CHI
1992/93,Chicago Bulls,"$4,000,000 ($8,704,964*)",CHI
1991/92,Chicago Bulls,"$3,250,000 ($7,291,207*)",CHI
1990/91,Chicago Bulls,"$2,500,000 ($5,871,997*)",CHI
