Id_temporada,Age,Team,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Id_resultado
1,21,CHI,4,4,42.8,8.5,19.5,0.436,0.3,2.0,0.125,8.3,17.5,0.471,0.442,12.0,14.5,0.828,1.8,4.0,5.8,8.5,2.8,1.0,3.8,3.8,29.3,0
2,22,CHI,3,3,45.0,16.0,31.7,0.505,0.3,0.3,1.0,15.7,31.3,0.5,0.511,11.3,13.0,0.872,1.7,4.7,6.3,5.7,2.3,1.3,4.7,4.3,43.7,0
3,23,CHI,3,3,42.7,11.7,28.0,0.417,0.7,1.7,0.4,11.0,26.3,0.418,0.429,11.7,13.0,0.897,2.3,4.7,7.0,6.0,2.0,2.3,2.7,3.7,35.7,0
4,24,CHI,10,10,42.7,13.8,26.0,0.531,0.1,0.3,0.333,13.7,25.7,0.533,0.533,8.6,9.9,0.869,2.3,4.8,7.1,4.7,2.4,1.1,3.9,3.8,36.3,0
5,25,CHI,17,17,42.2,11.7,22.9,0.51,0.6,2.1,0.286,11.1,20.9,0.532,0.523,10.8,13.5,0.799,1.5,5.5,7.0,7.6,2.5,0.8,4.0,3.8,34.8,0
6,26,CHI,16,16,42.1,13.7,26.6,0.514,1.0,3.1,0.32,12.7,23.5,0.54,0.533,8.3,9.9,0.836,1.5,5.7,7.2,6.8,2.8,0.9,3.5,3.4,36.7,0
7,27,CHI,17,17,40.5,11.6,22.1,0.524,0.6,1.5,0.385,11.0,20.6,0.534,0.537,7.4,8.7,0.845,1.1,5.3,6.4,8.4,2.4,1.4,2.5,3.1,31.1,1
8,28,CHI,22,22,41.8,13.2,26.4,0.499,0.8,2.0,0.386,12.4,24.4,0.508,0.514,7.4,8.6,0.857,1.7,4.5,6.2,5.8,2.0,0.7,3.7,2.8,34.5,1
9,29,CHI,19,19,41.2,13.2,27.8,0.475,1.5,3.8,0.389,11.7,24.0,0.489,0.502,7.2,8.9,0.805,1.7,5.1,6.7,6.0,2.1,0.9,2.4,3.1,35.1,1
10,31,CHI,10,10,42.0,12.0,24.8,0.484,1.1,3.0,0.367,10.9,21.8,0.5,0.506,6.4,7.9,0.81,2.0,4.5,6.5,4.5,2.3,1.4,4.1,3.0,31.5,0
11,32,CHI,18,18,40.7,10.4,22.6,0.459,1.4,3.4,0.403,9.0,19.2,0.47,0.49,8.5,10.4,0.818,1.7,3.2,4.9,4.1,1.8,0.3,2.3,2.7,30.7,1
12,33,CHI,19,19,42.3,11.9,26.2,0.456,0.7,3.5,0.194,11.3,22.7,0.497,0.469,6.5,7.8,0.831,2.2,5.7,7.9,4.8,1.6,0.9,2.6,2.4,31.1,1
13,34,CHI,21,21,41.5,11.6,25.0,0.462,0.6,2.0,0.302,11.0,23.0,0.476,0.474,8.6,10.6,0.812,1.6,3.5,5.1,3.5,1.5,0.6,2.1,2.2,32.4,1
