Id_temporada,TEAM_ABBREVIATION,PLAYER_AGE,GP,GS,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS
1,CHI,22,82,82,3144.0,837,1625,0.515,9,52,0.173,630,746,0.845,167,367,534,481,196,69,291,285,2313
2,CHI,23,18,7,451.0,150,328,0.457,3,18,0.167,105,125,0.84,23,41,64,53,37,21,45,46,408
3,CHI,24,82,82,3281.0,1098,2279,0.482,12,66,0.182,833,972,0.857,166,264,430,377,236,125,272,237,3041
4,CHI,25,82,82,3311.0,1069,1998,0.535,7,53,0.132,723,860,0.841,139,310,449,485,259,131,252,270,2868
5,CHI,26,81,81,3255.0,966,1795,0.538,27,98,0.276,674,793,0.85,149,503,652,650,234,65,290,247,2633
6,CHI,27,82,82,3197.0,1034,1964,0.526,92,245,0.376,593,699,0.848,143,422,565,519,227,54,247,241,2753
7,CHI,28,82,82,3034.0,990,1837,0.539,29,93,0.312,571,671,0.851,118,374,492,453,223,83,202,229,2580
8,CHI,29,80,80,3102.0,943,1818,0.519,27,100,0.27,491,590,0.832,91,420,511,489,182,75,200,201,2404
9,CHI,30,78,78,3067.0,992,2003,0.495,81,230,0.352,476,569,0.837,135,387,522,428,221,61,207,188,2541
10,CHI,32,17,17,668.0,166,404,0.411,16,32,0.5,109,136,0.801,25,92,117,90,30,13,35,47,457
11,CHI,33,82,82,3090.0,916,1850,0.495,111,260,0.427,548,657,0.834,148,395,543,352,180,42,197,195,2491
12,CHI,34,82,82,3109.0,920,1892,0.486,111,297,0.374,480,576,0.833,113,369,482,352,140,44,166,156,2431
13,CHI,35,82,82,3181.0,881,1893,0.465,30,126,0.238,565,721,0.784,130,345,475,283,141,45,185,151,2357
14,WAS,39,60,53,2089.0,551,1324,0.416,10,53,0.189,263,333,0.79,50,289,339,310,85,26,162,119,1375
15,WAS,40,82,67,3029.0,679,1527,0.445,16,55,0.291,266,324,0.821,71,426,497,311,123,39,173,171,1640
