team_code,Salario,Salario Actualizado,Id_temporada
LAL,47607350,47607350,21
LAL,44474988,45795529,20
LAL,41180544,46244900,19
LAL,39219566,46417307,18
LAL,37436858,44593536,17
LAL,35654150,43170146,16
CLE,33285709,41459735,15
CLE,30963450,39197185,14
CLE,22970500,29368777,13
CLE,20644400,26427427,12
MIA,19067500,24914630,11
MIA,17545000,23327453,10
MIA,16022500,21657653,9
MIA,14500000,20297205,8
CLE,15779912,22321508,7
CLE,14410581,20093677,6
CLE,13041250,19097502,5
CLE,5828090,8763936,4
CLE,4621800,7250142,3
CLE,4320360,6948764,2
CLE,4018920,6675060,1
