Franquicia,team_code,Liga,Desde,Hasta,Anios,G,W,L,W/L%,Plyfs,Div,Conf,Champ
Atlanta Hawks,ATL,NBA,1949-50,2024-25,76,5943,2929,3014,0.493,49,12,0,1
Boston Celtics,BOS,NBA/BAA,1946-47,2024-25,79,6120,3639,2481,0.595,61,34,11,18
Brooklyn Nets,BKN,NBA/ABA,1967-68,2024-25,58,4618,2031,2587,0.44,31,5,2,2
Charlotte Hornets,CHA,NBA,1988-89,2024-25,35,2718,1176,1542,0.433,10,0,0,0
Chicago Bulls,CHI,NBA,1966-67,2024-25,59,4686,2386,2300,0.509,36,9,6,6
Cleveland Cavaliers,CLE,NBA,1970-71,2024-25,55,4359,2038,2321,0.468,24,7,5,1
Dallas Mavericks,DAL,NBA,1980-81,2024-25,45,3548,1800,1748,0.507,25,5,3,1
Denver Nuggets,DEN,NBA/ABA,1967-68,2024-25,58,4618,2369,2249,0.513,39,13,1,1
Detroit Pistons,DET,NBA/BAA,1948-49,2024-25,77,6004,2828,3176,0.471,42,11,5,3
Golden State Warriors,GSW,NBA/BAA,1946-47,2024-25,79,6108,2973,3135,0.487,37,12,7,7
Houston Rockets,HOU,NBA,1967-68,2024-25,58,4611,2372,2239,0.514,34,8,4,2
Indiana Pacers,IND,NBA/ABA,1967-68,2024-25,58,4618,2359,2259,0.511,37,9,1,3
Los Angeles Clippers,LAC,NBA,1970-71,2024-25,55,4365,1845,2520,0.423,18,3,0,0
Los Angeles Lakers,LAL,NBA/BAA,1948-49,2024-25,77,6010,3554,2456,0.591,64,33,19,17
Memphis Grizzlies,MEM,NBA,1995-96,2024-25,30,2317,1001,1316,0.432,13,2,0,0
Miami Heat,MIA,NBA,1988-89,2024-25,37,2889,1523,1366,0.527,25,16,7,3
Milwaukee Bucks,MIL,NBA,1968-69,2024-25,57,4530,2390,2140,0.528,36,19,3,2
Minnesota Timberwolves,MIN,NBA,1989-90,2024-25,36,2799,1150,1649,0.411,12,1,0,0
New Orleans Pelicans,NOP,NBA,2002-03,2024-25,23,1774,834,940,0.47,9,1,0,0
New York Knicks,NYK,NBA/BAA,1946-47,2024-25,79,6110,2977,3133,0.487,45,8,4,2
Oklahoma City Thunder,OKC,NBA,1967-68,2024-25,58,4611,2475,2136,0.537,33,12,4,1
Orlando Magic,ORL,NBA,1989-90,2024-25,36,2809,1318,1491,0.469,17,7,2,0
Philadelphia 76ers,PHI,NBA,1949-50,2024-25,76,5945,3102,2843,0.522,54,12,5,3
Phoenix Suns,PHX,NBA,1968-69,2024-25,57,4530,2433,2097,0.537,33,8,3,0
Portland Trail Blazers,POR,NBA,1970-71,2024-25,55,4368,2294,2074,0.525,37,6,3,1
Sacramento Kings,SAC,NBA/BAA,1948-49,2024-25,77,6010,2751,3259,0.458,30,6,0,1
San Antonio Spurs,SAS,NBA/ABA,1967-68,2024-25,58,4616,2685,1931,0.582,47,22,6,5
Toronto Raptors,TOR,NBA,1995-96,2024-25,30,2316,1097,1219,0.474,13,7,1,1
Utah Jazz,UTA,NBA,1974-75,2024-25,51,4037,2177,1860,0.539,31,11,2,0
Washington Wizards,WAS,NBA,1961-62,2024-25,64,5091,2274,2817,0.447,30,8,4,1
